order_item_id,order_id,product_id,quantity,unit_price,discount_pct,line_total
OI000001,ORD000001,P0140,3,1948.58,0.09,5319.62
OI000002,ORD000002,P0033,2,1203.74,0.13,2094.51
OI000003,ORD000003,P0115,1,184.48,0.14,158.65
OI000004,ORD000003,P0031,1,610.05,0.05,579.55
OI000005,ORD000003,P0112,3,1848.46,0.21,4380.85
OI000006,ORD000004,P0102,1,1218.28,0.05,1157.37
OI000007,ORD000004,P0127,4,1657.49,0.17,5502.87
OI000008,ORD000005,P0048,2,988.37,0.17,1640.69
OI000009,ORD000005,P0001,1,505.78,0.26,374.28
OI000010,ORD000006,P0078,3,1974.18,0.17,4915.71
OI000011,ORD000006,P0057,2,1079.02,0.07,2006.98
OI000012,ORD000006,P0076,2,1276.0,0.09,2322.32
OI000013,ORD000007,P0014,1,946.87,0.0,946.87
OI000014,ORD000007,P0064,3,775.8,0.19,1885.19
OI000015,ORD000007,P0054,3,761.66,0.1,2056.48
OI000016,ORD000008,P0076,3,1276.0,0.07,3560.04
OI000017,ORD000008,P0084,3,1257.41,0.05,3583.62
OI000018,ORD000008,P0015,1,45.95,0.16,38.6
OI000019,ORD000008,P0003,1,793.17,0.22,618.67
OI000020,ORD000009,P0142,2,1447.88,0.1,2606.18
OI000021,ORD000009,P0053,2,1726.23,0.17,2865.54
OI000022,ORD000009,P0114,4,879.55,0.05,3342.29
OI000023,ORD000010,P0024,2,1917.9,0.24,2915.21
OI000024,ORD000010,P0127,2,1657.49,0.06,3116.08
OI000025,ORD000010,P0047,4,650.06,0.28,1872.17
OI000026,ORD000010,P0118,2,133.15,0.19,215.7
OI000027,ORD000011,P0049,4,259.87,0.07,966.72
OI000028,ORD000011,P0018,4,78.55,0.03,304.77
OI000029,ORD000011,P0037,2,1026.94,0.22,1602.03
OI000030,ORD000011,P0019,1,105.03,0.18,86.12
OI000031,ORD000012,P0012,2,1343.89,0.07,2499.64
OI000032,ORD000013,P0004,1,1766.29,0.06,1660.31
OI000033,ORD000013,P0003,4,793.17,0.23,2442.96
OI000034,ORD000013,P0028,4,653.5,0.24,1986.64
OI000035,ORD000013,P0139,3,1362.1,0.1,3677.67
OI000036,ORD000013,P0087,2,131.5,0.07,244.59
OI000037,ORD000014,P0032,3,1981.16,0.03,5765.18
OI000038,ORD000014,P0006,4,1984.86,0.04,7621.86
OI000039,ORD000014,P0012,2,1343.89,0.01,2660.9
OI000040,ORD000014,P0027,4,1878.46,0.12,6612.18
OI000041,ORD000014,P0140,3,1948.58,0.2,4676.59
OI000042,ORD000015,P0044,3,1627.29,0.11,4344.86
OI000043,ORD000015,P0029,3,784.48,0.04,2259.3
OI000044,ORD000015,P0058,1,932.67,0.27,680.85
OI000045,ORD000015,P0027,2,1878.46,0.05,3569.07
OI000046,ORD000016,P0039,1,480.43,0.08,442.0
OI000047,ORD000016,P0078,4,1974.18,0.2,6317.38
OI000048,ORD000016,P0074,3,611.42,0.24,1394.04
OI000049,ORD000016,P0090,1,951.73,0.24,723.31
OI000050,ORD000017,P0115,4,184.48,0.29,523.92
OI000051,ORD000017,P0123,3,300.28,0.04,864.81
OI000052,ORD000017,P0018,3,78.55,0.3,164.95
OI000053,ORD000017,P0029,2,784.48,0.23,1208.1
OI000054,ORD000018,P0106,4,1328.66,0.13,4623.74
OI000055,ORD000018,P0086,4,69.04,0.16,231.97
OI000056,ORD000018,P0036,4,676.86,0.16,2274.25
OI000057,ORD000018,P0063,2,1975.17,0.12,3476.3
OI000058,ORD000019,P0061,3,1453.44,0.0,4360.32
OI000059,ORD000020,P0029,3,784.48,0.11,2094.56
OI000060,ORD000020,P0016,2,1485.48,0.09,2703.57
OI000061,ORD000021,P0054,1,761.66,0.22,594.09
OI000062,ORD000021,P0058,1,932.67,0.29,662.2
OI000063,ORD000022,P0096,1,909.32,0.14,782.02
OI000064,ORD000022,P0014,2,946.87,0.01,1874.8
OI000065,ORD000022,P0028,3,653.5,0.04,1882.08
OI000066,ORD000022,P0149,2,1390.51,0.02,2725.4
OI000067,ORD000023,P0036,4,676.86,0.22,2111.8
OI000068,ORD000023,P0136,4,1795.46,0.23,5530.02
OI000069,ORD000023,P0077,1,1499.97,0.09,1364.97
OI000070,ORD000023,P0121,2,1081.2,0.02,2119.15
OI000071,ORD000024,P0042,3,1481.12,0.28,3199.22
OI000072,ORD000024,P0003,3,793.17,0.21,1879.81
OI000073,ORD000024,P0102,4,1218.28,0.28,3508.65
OI000074,ORD000024,P0109,3,567.91,0.29,1209.65
OI000075,ORD000024,P0117,4,633.61,0.29,1799.45
OI000076,ORD000025,P0101,1,1715.63,0.24,1303.88
OI000077,ORD000025,P0048,4,988.37,0.14,3399.99
OI000078,ORD000026,P0109,1,567.91,0.03,550.87
OI000079,ORD000026,P0050,3,1019.77,0.18,2508.63
OI000080,ORD000026,P0070,3,303.26,0.01,900.68
OI000081,ORD000027,P0055,1,1472.51,0.23,1133.83
OI000082,ORD000028,P0062,3,1941.28,0.03,5649.12
OI000083,ORD000029,P0012,3,1343.89,0.0,4031.67
OI000084,ORD000029,P0013,3,1101.37,0.23,2544.16
OI000085,ORD000029,P0081,4,978.08,0.15,3325.47
OI000086,ORD000029,P0024,3,1917.9,0.23,4430.35
OI000087,ORD000030,P0105,2,938.94,0.01,1859.1
OI000088,ORD000030,P0129,4,980.13,0.14,3371.65
OI000089,ORD000030,P0026,1,1128.49,0.09,1026.93
OI000090,ORD000031,P0056,2,1526.24,0.3,2136.74
OI000091,ORD000031,P0037,3,1026.94,0.13,2680.31
OI000092,ORD000032,P0111,1,1593.13,0.29,1131.12
OI000093,ORD000032,P0011,4,31.37,0.03,121.72
OI000094,ORD000032,P0100,1,171.92,0.04,165.04
OI000095,ORD000032,P0062,3,1941.28,0.16,4892.03
OI000096,ORD000032,P0054,1,761.66,0.15,647.41
OI000097,ORD000033,P0018,3,78.55,0.11,209.73
OI000098,ORD000033,P0072,1,1415.08,0.05,1344.33
OI000099,ORD000034,P0036,1,676.86,0.11,602.41
OI000100,ORD000034,P0032,3,1981.16,0.12,5230.26
OI000101,ORD000034,P0146,2,1309.86,0.13,2279.16
OI000102,ORD000034,P0125,3,1993.73,0.11,5323.26
OI000103,ORD000035,P0011,1,31.37,0.05,29.8
OI000104,ORD000035,P0015,1,45.95,0.09,41.81
OI000105,ORD000035,P0063,2,1975.17,0.17,3278.78
OI000106,ORD000036,P0024,4,1917.9,0.03,7441.45
OI000107,ORD000036,P0090,2,951.73,0.22,1484.7
OI000108,ORD000036,P0120,4,1330.85,0.23,4099.02
OI000109,ORD000036,P0137,2,1305.96,0.12,2298.49
OI000110,ORD000037,P0125,4,1993.73,0.01,7895.17
OI000111,ORD000037,P0055,2,1472.51,0.28,2120.41
OI000112,ORD000037,P0122,2,445.62,0.19,721.9
OI000113,ORD000037,P0030,3,1251.58,0.17,3116.43
OI000114,ORD000037,P0072,4,1415.08,0.02,5547.11
OI000115,ORD000038,P0055,1,1472.51,0.29,1045.48
OI000116,ORD000039,P0022,1,1818.43,0.08,1672.96
OI000117,ORD000039,P0037,1,1026.94,0.09,934.52
OI000118,ORD000040,P0048,4,988.37,0.1,3558.13
OI000119,ORD000040,P0014,3,946.87,0.05,2698.58
OI000120,ORD000040,P0024,3,1917.9,0.28,4142.66
OI000121,ORD000041,P0091,2,1366.9,0.02,2679.12
OI000122,ORD000041,P0147,2,252.88,0.1,455.18
OI000123,ORD000041,P0100,3,171.92,0.0,515.76
OI000124,ORD000041,P0003,4,793.17,0.28,2284.33
