order_id,customer_id,order_date,status,payment_method,total_amount,shipping_days
ORD000001,C1896,2022-07-22,Delivered,Net Banking,5319.62,4.0
ORD000002,C1093,2022-11-11,Cancelled,UPI,2094.51,
ORD000003,C1826,2023-12-13,Delivered,Debit Card,5119.05,5.0
ORD000004,C0094,2022-05-05,Delivered,Net Banking,6660.24,7.0
ORD000005,C1244,2022-05-20,Delivered,Wallet,2014.97,8.0
ORD000006,C1032,2024-12-11,Delivered,Debit Card,9245.01,5.0
ORD000007,C1900,2022-09-30,Delivered,Wallet,4888.54,5.0
ORD000008,C1479,2022-10-01,Returned,Net Banking,7800.93,
ORD000009,C1937,2022-12-01,Delivered,Debit Card,8814.01,7.0
ORD000010,C0755,2022-10-31,Delivered,Credit Card,8119.16,5.0
ORD000011,C0334,2022-12-30,Delivered,Net Banking,2959.64,7.0
ORD000012,C0043,2022-08-14,Pending,Credit Card,2499.64,
ORD000013,C0549,2022-10-20,Returned,Wallet,10012.17,
ORD000014,C1418,2023-07-02,Delivered,Debit Card,27336.71,7.0
ORD000015,C1407,2022-02-27,Delivered,Wallet,10854.08,6.0
ORD000016,C1229,2023-01-07,Delivered,Debit Card,8876.73,3.0
ORD000017,C0656,2022-03-17,Delivered,UPI,2761.78,6.0
ORD000018,C1013,2024-05-18,Delivered,Wallet,10606.26,7.0
ORD000019,C1080,2023-03-26,Delivered,Credit Card,4360.32,6.0
ORD000020,C1144,2024-08-28,Delivered,Debit Card,4798.13,9.0
ORD000021,C1991,2024-05-12,Delivered,Debit Card,1256.29,7.0
ORD000022,C1502,2022-02-23,Delivered,Wallet,7264.3,7.0
ORD000023,C0307,2023-01-09,Delivered,Credit Card,11125.94,10.0
ORD000024,C1539,2022-03-30,Delivered,Debit Card,11596.78,4.0
ORD000025,C0821,2022-04-25,Delivered,Net Banking,4703.87,7.0
ORD000026,C0338,2022-04-22,Returned,UPI,3960.18,
ORD000027,C0334,2022-08-07,Delivered,UPI,1133.83,4.0
ORD000028,C1130,2022-04-14,Delivered,Wallet,5649.12,10.0
ORD000029,C0092,2022-10-16,Delivered,UPI,14331.65,3.0
ORD000030,C1440,2022-07-19,Delivered,Debit Card,6257.68,8.0
ORD000031,C0162,2022-07-11,Delivered,Debit Card,4817.05,6.0
ORD000032,C0596,2024-01-08,Delivered,Net Banking,6957.32,6.0
ORD000033,C0348,2023-08-29,Delivered,Net Banking,1554.06,5.0
ORD000034,C0970,2023-06-09,Cancelled,Net Banking,13435.09,
ORD000035,C1037,2022-08-19,Pending,Credit Card,3350.39,
ORD000036,C0457,2024-03-06,Returned,Credit Card,15323.66,
ORD000037,C0650,2023-12-03,Delivered,UPI,19401.02,7.0
ORD000038,C0970,2023-03-14,Delivered,Net Banking,1045.48,5.0
ORD000039,C0517,2022-11-22,Delivered,Net Banking,2607.48,7.0
ORD000040,C1075,2023-03-15,Delivered,Net Banking,10399.37,8.0
ORD000041,C1097,2022-11-26,Delivered,Net Banking,5934.39,6.0
ORD000042,C0233,2024-04-12,Delivered,Wallet,5708.02,3.0
ORD000043,C1231,2024-02-13,Delivered,UPI,2029.34,1.0
ORD000044,C0619,2023-09-21,Cancelled,Wallet,17435.33,
ORD000045,C0334,2024-06-11,Delivered,Wallet,9197.67,10.0
ORD000046,C1651,2022-01-17,Delivered,UPI,4259.2,8.0
ORD000047,C0846,2024-03-21,Delivered,UPI,1545.84,5.0
ORD000048,C0630,2024-04-29,Delivered,Wallet,3646.73,10.0
ORD000049,C0651,2023-11-18,Delivered,Net Banking,6409.95,1.0
ORD000050,C1642,2024-05-28,Delivered,Credit Card,1358.23,3.0
